family	# chemicals	# family specific chemicals	# med plants	# plants in fam	plants in fam
ncbitaxon:46786	127	19	5	10	['ncbitaxon:83819', 'ncbitaxon:2630985', 'ncbitaxon:1224216', 'ncbitaxon:388918', 'ncbitaxon:512629', 'ncbitaxon:487757', 'ncbitaxon:2071512', 'ncbitaxon:467335', 'ncbitaxon:137693', 'ncbitaxon:701381']
ncbitaxon:316935	4	0	0	1	['ncbitaxon:316936']
ncbitaxon:33106	1	1	0	1	['ncbitaxon:33107']
ncbitaxon:1611309	28	0	0	1	['ncbitaxon:1611310']
ncbitaxon:119945	22	5	0	1	['ncbitaxon:983942']
ncbitaxon:133579	6	1	0	1	['ncbitaxon:133581']
ncbitaxon:235833	2	0	0	1	['ncbitaxon:1129707']
ncbitaxon:4701	158	26	2	6	['ncbitaxon:1891591', 'ncbitaxon:1207289', 'ncbitaxon:28487', 'ncbitaxon:4702', 'ncbitaxon:65771', 'ncbitaxon:49652']
ncbitaxon:217596	2	0	0	1	['ncbitaxon:217597']
ncbitaxon:429487	101	0	0	1	['ncbitaxon:582712']
ncbitaxon:162732	25	0	1	2	['ncbitaxon:162735', 'ncbitaxon:162734']
ncbitaxon:56534	151	47	2	16	['ncbitaxon:557681', 'ncbitaxon:557699', 'ncbitaxon:119188', 'ncbitaxon:73987', 'ncbitaxon:2836199', 'ncbitaxon:557689', 'ncbitaxon:211592', 'ncbitaxon:119189', 'ncbitaxon:557695', 'ncbitaxon:119191', 'ncbitaxon:119185', 'ncbitaxon:557708', 'ncbitaxon:557703', 'ncbitaxon:379282', 'ncbitaxon:119190', 'ncbitaxon:56535']
ncbitaxon:60081	4	3	0	1	['ncbitaxon:60082']
ncbitaxon:94285	124	59	1	1	['ncbitaxon:94286']
ncbitaxon:87005	138	22	1	8	['ncbitaxon:1241424', 'ncbitaxon:925351', 'ncbitaxon:2571309', 'ncbitaxon:1241420', 'ncbitaxon:649173', 'ncbitaxon:925354', 'ncbitaxon:126435', 'ncbitaxon:1241423']
ncbitaxon:13503	11	1	0	7	['ncbitaxon:311265', 'ncbitaxon:311264', 'ncbitaxon:311273', 'ncbitaxon:311290', 'ncbitaxon:311262', 'ncbitaxon:98897', 'ncbitaxon:311266']
ncbitaxon:69052	9	2	0	1	['ncbitaxon:69053']
ncbitaxon:47518	60	1	1	3	['ncbitaxon:47519', 'ncbitaxon:649339', 'ncbitaxon:136204']
ncbitaxon:39859	28	6	0	1	['ncbitaxon:39860']
ncbitaxon:375236	4	1	0	1	['ncbitaxon:375237']
ncbitaxon:3865	50	3	1	2	['ncbitaxon:190738', 'ncbitaxon:3866']
ncbitaxon:55512	336	27	8	9	['ncbitaxon:434238', 'ncbitaxon:434234', 'ncbitaxon:289741', 'ncbitaxon:434235', 'ncbitaxon:371726', 'ncbitaxon:55513', 'ncbitaxon:371727', 'ncbitaxon:434236', 'ncbitaxon:246379']
ncbitaxon:2588178	2	1	0	1	['ncbitaxon:2873749']
ncbitaxon:460350	30	2	0	2	['ncbitaxon:460351', 'ncbitaxon:460355']
ncbitaxon:2800775	4	1	0	2	['ncbitaxon:183649', 'ncbitaxon:1170790']
ncbitaxon:38220	114	15	2	13	['ncbitaxon:141721', 'ncbitaxon:141750', 'ncbitaxon:466244', 'ncbitaxon:38221', 'ncbitaxon:71595', 'ncbitaxon:1497010', 'ncbitaxon:861273', 'ncbitaxon:947907', 'ncbitaxon:1350402', 'ncbitaxon:141735', 'ncbitaxon:233035', 'ncbitaxon:1470454', 'ncbitaxon:180499']
ncbitaxon:549774	22	17	0	2	['ncbitaxon:549775', 'ncbitaxon:670087']
ncbitaxon:557056	6	6	0	1	['ncbitaxon:557057']
ncbitaxon:13484	54	2	1	4	['ncbitaxon:670083', 'ncbitaxon:462872', 'ncbitaxon:13485', 'ncbitaxon:217991']
ncbitaxon:41634	57	17	1	4	['ncbitaxon:143210', 'ncbitaxon:1291643', 'ncbitaxon:324596', 'ncbitaxon:65004']
ncbitaxon:79021	62	22	1	5	['ncbitaxon:571615', 'ncbitaxon:571611', 'ncbitaxon:512634', 'ncbitaxon:512635', 'ncbitaxon:79022']
ncbitaxon:252527	1	0	0	1	['ncbitaxon:387122']
ncbitaxon:694324	1	0	0	1	['ncbitaxon:694325']
ncbitaxon:41642	177	24	1	13	['ncbitaxon:41644', 'ncbitaxon:1142033', 'ncbitaxon:1142023', 'ncbitaxon:1142019', 'ncbitaxon:1142026', 'ncbitaxon:1142027', 'ncbitaxon:1142017', 'ncbitaxon:634960', 'ncbitaxon:1142031', 'ncbitaxon:99098', 'ncbitaxon:1777090', 'ncbitaxon:1142029', 'ncbitaxon:765941']
ncbitaxon:694028	3	1	0	1	['ncbitaxon:694029']
ncbitaxon:482952	21	3	0	3	['ncbitaxon:1237831', 'ncbitaxon:1237830', 'ncbitaxon:1762915']
ncbitaxon:23809	59	9	3	3	['ncbitaxon:459109', 'ncbitaxon:459110', 'ncbitaxon:1133704']
ncbitaxon:313923	8	0	0	1	['ncbitaxon:313924']
ncbitaxon:83944	1	0	0	1	['ncbitaxon:83945']
ncbitaxon:290995	15	4	1	1	['ncbitaxon:290996']
ncbitaxon:418401	51	9	1	1	['ncbitaxon:418402']
ncbitaxon:98711	114	17	0	4	['ncbitaxon:98712', 'ncbitaxon:1707443', 'ncbitaxon:1707444', 'ncbitaxon:1707442']
ncbitaxon:39174	169	14	4	16	['ncbitaxon:2306949', 'ncbitaxon:1266558', 'ncbitaxon:39351', 'ncbitaxon:39352', 'ncbitaxon:1268187', 'ncbitaxon:497761', 'ncbitaxon:1268190', 'ncbitaxon:1268196', 'ncbitaxon:268884', 'ncbitaxon:1082757', 'ncbitaxon:1268191', 'ncbitaxon:1268194', 'ncbitaxon:1268181', 'ncbitaxon:452416', 'ncbitaxon:497763', 'ncbitaxon:1132404']
ncbitaxon:3889	32	2	1	1	['ncbitaxon:3891']
